"userID","createDate","row","category","trait","percentage","sampling_error"
"realrudymartin",2016-09-21,1,"Personality","Openness",26.4,0.0583
"realrudymartin",2016-09-21,2,"Personality","Adventurousness",99.29,0.0497
"realrudymartin",2016-09-21,3,"Personality","Artistic interests",31.18,0.1013
"realrudymartin",2016-09-21,4,"Personality","Emotionality",1.52,0.0467
"realrudymartin",2016-09-21,5,"Personality","Imagination",89.85,0.0623
"realrudymartin",2016-09-21,6,"Personality","Intellect",95.85,0.0545
"realrudymartin",2016-09-21,7,"Personality","Liberalism",69.44,0.0817
"realrudymartin",2016-09-21,8,"Personality","Conscientiousness",44.6,0.0743
"realrudymartin",2016-09-21,9,"Personality","Achievement striving",85.05,0.0962
"realrudymartin",2016-09-21,10,"Personality","Cautiousness",54.07,0.0895
"realrudymartin",2016-09-21,11,"Personality","Dutifulness",17.09,0.0591
"realrudymartin",2016-09-21,12,"Personality","Orderliness",60.47,0.0686
"realrudymartin",2016-09-21,13,"Personality","Self-discipline",92.56,0.0458
"realrudymartin",2016-09-21,14,"Personality","Self-efficacy",99.04,0.0899
"realrudymartin",2016-09-21,15,"Personality","Extraversion",14.38,0.055
"realrudymartin",2016-09-21,16,"Personality","Activity level",90.92,0.0757
"realrudymartin",2016-09-21,17,"Personality","Assertiveness",96.52,0.081
"realrudymartin",2016-09-21,18,"Personality","Cheerfulness",8.25,0.1019
"realrudymartin",2016-09-21,19,"Personality","Excitement-seeking",89.03,0.0796
"realrudymartin",2016-09-21,20,"Personality","Friendliness",27.07,0.0733
"realrudymartin",2016-09-21,21,"Personality","Gregariousness",37.54,0.0564
"realrudymartin",2016-09-21,22,"Personality","Agreeableness",3.29,0.0946
"realrudymartin",2016-09-21,23,"Personality","Altruism",22.2,0.0686
"realrudymartin",2016-09-21,24,"Personality","Cooperation",15.89,0.0782
"realrudymartin",2016-09-21,25,"Personality","Modesty",4.34,0.054
"realrudymartin",2016-09-21,26,"Personality","Morality",9.18,0.0614
"realrudymartin",2016-09-21,27,"Personality","Sympathy",32.41,0.0947
"realrudymartin",2016-09-21,28,"Personality","Trust",78.01,0.0543
"realrudymartin",2016-09-21,29,"Personality","Neuroticism",56.8,0.0882
"realrudymartin",2016-09-21,30,"Personality","Anger",35.27,0.0917
"realrudymartin",2016-09-21,31,"Personality","Anxiety",41.21,0.0534
"realrudymartin",2016-09-21,32,"Personality","Depression",33.06,0.0568
"realrudymartin",2016-09-21,33,"Personality","Immoderation",0.08,0.0513
"realrudymartin",2016-09-21,34,"Personality","Self-consciousness",58.18,0.0548
"realrudymartin",2016-09-21,35,"Personality","Vulnerability",19.74,0.0831
"realrudymartin",2016-09-21,36,"Needs","Challenge",59.74,0.0815
"realrudymartin",2016-09-21,37,"Needs","Closeness",13.75,0.0805
"realrudymartin",2016-09-21,38,"Needs","Curiosity",52.14,0.1158
"realrudymartin",2016-09-21,39,"Needs","Excitement",59.73,0.1055
"realrudymartin",2016-09-21,40,"Needs","Harmony",29.64,0.1054
"realrudymartin",2016-09-21,41,"Needs","Ideal",50.36,0.0953
"realrudymartin",2016-09-21,42,"Needs","Liberty",59.82,0.1408
"realrudymartin",2016-09-21,43,"Needs","Love",31.2,0.097
"realrudymartin",2016-09-21,44,"Needs","Practicality",99.35,0.0842
"realrudymartin",2016-09-21,45,"Needs","Self-expression",48.93,0.0788
"realrudymartin",2016-09-21,46,"Needs","Stability",65.36,0.1026
"realrudymartin",2016-09-21,47,"Needs","Structure",59.22,0.0771
"realrudymartin",2016-09-21,48,"Values","Conservation",15.07,0.0667
"realrudymartin",2016-09-21,49,"Values","Openness to change",26.04,0.0625
"realrudymartin",2016-09-21,50,"Values","Hedonism",35.53,0.1332
"realrudymartin",2016-09-21,51,"Values","Self-enhancement",48.58,0.0997
"realrudymartin",2016-09-21,52,"Values","Self-transcendence",11.81,0.0777
